,Year,latbin,lonbin,WEIGHTED_INCIDENT_SCORE,RANK
0,2003,0.0,0.0,101,0.026838432635534083
1,2003,38.94,-77.025,16,0.004025764895330112
2,2003,39.93,-75.22500000000001,7,0.0016103059581320453
3,2003,42.165,-71.785,7,0.0016103059581320453
4,2003,42.21,-71.8,292,0.07809983896940419
5,2003,42.21,-71.795,8,0.001878690284487386
6,2003,42.21,-71.79,5,0.0010735373054213634
7,2003,42.215,-71.805,63,0.01663982823403113
8,2003,42.215,-71.8,51,0.013419216317767043
9,2003,42.215,-71.785,126,0.0335480407944176
10,2003,42.215,-71.78,14,0.0034889962426194313
11,2003,42.22,-71.81,4,0.0008051529790660225
12,2003,42.22,-71.805,362,0.09688674181427805
13,2003,42.22,-71.8,36,0.00939345142243693
14,2003,42.22,-71.795,10,0.0024154589371980675
15,2003,42.22,-71.79,36,0.00939345142243693
16,2003,42.22,-71.785,28,0.007246376811594203
17,2003,42.22,-71.77,14,0.0034889962426194313
18,2003,42.225,-71.86,1,0.0
19,2003,42.225,-71.855,12,0.0029522275899087494
20,2003,42.225,-71.85000000000001,27,0.006977992485238862
21,2003,42.225,-71.845,29,0.007514761137949543
22,2003,42.225,-71.84,9,0.0021470746108427268
23,2003,42.225,-71.83500000000001,1,0.0
24,2003,42.225,-71.805,122,0.03247450348899624
25,2003,42.225,-71.8,135,0.035963499731615674
26,2003,42.225,-71.795,152,0.04052603327965647
27,2003,42.225,-71.79,97,0.02576489533011272
28,2003,42.225,-71.785,22,0.005636070853462158
29,2003,42.225,-71.765,50,0.013150831991411703
30,2003,42.225,-71.76,126,0.0335480407944176
31,2003,42.230000000000004,-71.86,10,0.0024154589371980675
32,2003,42.230000000000004,-71.855,68,0.017981749865807837
33,2003,42.230000000000004,-71.85000000000001,172,0.04589371980676328
34,2003,42.230000000000004,-71.845,82,0.021739130434782608
35,2003,42.230000000000004,-71.84,69,0.018250134192163175
36,2003,42.230000000000004,-71.83500000000001,16,0.004025764895330112
37,2003,42.230000000000004,-71.83,25,0.00644122383252818
38,2003,42.230000000000004,-71.825,39,0.010198604401502952
39,2003,42.230000000000004,-71.82000000000001,228,0.06092324208266237
40,2003,42.230000000000004,-71.815,57,0.015029522275899088
41,2003,42.230000000000004,-71.81,111,0.029522275899087493
42,2003,42.230000000000004,-71.805,38,0.009930220075147612
43,2003,42.230000000000004,-71.8,423,0.11325818572195384
44,2003,42.230000000000004,-71.795,195,0.05206655931293612
45,2003,42.230000000000004,-71.79,149,0.03972088030059044
46,2003,42.230000000000004,-71.785,15,0.0037573805689747716
47,2003,42.230000000000004,-71.77,28,0.007246376811594203
48,2003,42.230000000000004,-71.765,6,0.0013419216317767041
49,2003,42.230000000000004,-71.76,30,0.007783145464304884
50,2003,42.230000000000004,-71.755,146,0.03891572732152442
51,2003,42.230000000000004,-71.75,50,0.013150831991411703
52,2003,42.235,-71.865,7,0.0016103059581320453
53,2003,42.235,-71.86,94,0.0249597423510467
54,2003,42.235,-71.855,152,0.04052603327965647
55,2003,42.235,-71.85000000000001,269,0.07192699946323135
